Map (num_proc=2): 100%|██████| 10047/10047 [00:03<00:00, 3033.17 examples/s]
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 10,047 | Num Epochs = 15
O^O/ \_/ \    Batch size per device = 128 | Gradient Accumulation steps = 2
\        /    Total batch size = 256 | Total steps = 585
 "-____-"     Number of trainable parameters = 24,313,856
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                       
{'loss': 2.4437, 'grad_norm': 0.26602962613105774, 'learning_rate': 4e-05, 'epoch': 0.03}
{'loss': 2.4788, 'grad_norm': 0.26961609721183777, 'learning_rate': 8e-05, 'epoch': 0.05}
{'loss': 2.5042, 'grad_norm': 0.277405321598053, 'learning_rate': 0.00012, 'epoch': 0.08}
{'loss': 2.4229, 'grad_norm': 0.3018603026866913, 'learning_rate': 0.00016, 'epoch': 0.1}
{'loss': 2.3899, 'grad_norm': 0.36233964562416077, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 2.2758, 'grad_norm': 0.41047215461730957, 'learning_rate': 0.00019999853305881826, 'epoch': 0.15}
{'loss': 2.1604, 'grad_norm': 0.4368874132633209, 'learning_rate': 0.00019999413227831132, 'epoch': 0.18}
{'loss': 2.0497, 'grad_norm': 0.4032491147518158, 'learning_rate': 0.00019998679778759294, 'epoch': 0.2}
{'loss': 1.9064, 'grad_norm': 0.42458146810531616, 'learning_rate': 0.00019997652980184843, 'epoch': 0.23}
{'loss': 1.7895, 'grad_norm': 0.7966394424438477, 'learning_rate': 0.0001999633286223284, 'epoch': 0.25}
{'loss': 1.7202, 'grad_norm': 0.3655381202697754, 'learning_rate': 0.00019994719463633997, 'epoch': 0.28}
{'loss': 1.67, 'grad_norm': 0.2693532407283783, 'learning_rate': 0.00019992812831723527, 'epoch': 0.3}
{'loss': 1.6581, 'grad_norm': 0.3371427655220032, 'learning_rate': 0.0001999061302243977, 'epoch': 0.33}
{'loss': 1.6138, 'grad_norm': 0.24531283974647522, 'learning_rate': 0.00019988120100322538, 'epoch': 0.35}
