==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 10,047 | Num Epochs = 25
O^O/ \_/ \    Batch size per device = 128 | Gradient Accumulation steps = 2
\        /    Total batch size = 256 | Total steps = 975
 "-____-"     Number of trainable parameters = 24,313,856
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                       
{'loss': 2.5722, 'grad_norm': 0.3769890069961548, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.6116, 'grad_norm': 0.38176172971725464, 'learning_rate': 4e-05, 'epoch': 0.05}
{'loss': 2.6384, 'grad_norm': 0.38249659538269043, 'learning_rate': 6e-05, 'epoch': 0.08}
{'loss': 2.5693, 'grad_norm': 0.38517194986343384, 'learning_rate': 8e-05, 'epoch': 0.1}
{'loss': 2.5614, 'grad_norm': 0.4175395965576172, 'learning_rate': 0.0001, 'epoch': 0.13}
{'loss': 2.5153, 'grad_norm': 0.46370863914489746, 'learning_rate': 9.999973776182981e-05, 'epoch': 0.15}
{'loss': 2.467, 'grad_norm': 0.47617828845977783, 'learning_rate': 9.999895105006994e-05, 'epoch': 0.18}
{'loss': 2.4083, 'grad_norm': 0.4624118208885193, 'learning_rate': 9.999763987297265e-05, 'epoch': 0.2}
{'loss': 2.3155, 'grad_norm': 0.4369599521160126, 'learning_rate': 9.99958042442916e-05, 'epoch': 0.23}
{'loss': 2.2259, 'grad_norm': 0.39837366342544556, 'learning_rate': 9.999344418328162e-05, 'epoch': 0.25}
{'loss': 2.1686, 'grad_norm': 0.3796035349369049, 'learning_rate': 9.999055971469864e-05, 'epoch': 0.28}
{'loss': 2.1211, 'grad_norm': 0.39108511805534363, 'learning_rate': 9.998715086879938e-05, 'epoch': 0.3}
{'loss': 2.077, 'grad_norm': 0.4062930643558502, 'learning_rate': 9.998321768134102e-05, 'epoch': 0.33}
{'loss': 2.0059, 'grad_norm': 0.4285174012184143, 'learning_rate': 9.997876019358084e-05, 'epoch': 0.35}
