2024-11-24 16:50:58,380 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Configure stats pid to 474189
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Loading settings from /home/ubuntu-user/.config/wandb/settings
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Loading settings from /home/ubuntu-user/robot_repo/wandb/settings
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'ds_course/train_news.py', 'program_abspath': '/home/ubuntu-user/robot_repo/ds_course/train_news.py', 'program': '/home/ubuntu-user/robot_repo/ds_course/train_news.py'}
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:_log_setup():533] Logging user logs to /home/ubuntu-user/robot_repo/wandb/run-20241124_165058-rz8aqrm7/logs/debug.log
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:_log_setup():534] Logging internal logs to /home/ubuntu-user/robot_repo/wandb/run-20241124_165058-rz8aqrm7/logs/debug-internal.log
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:init():619] calling init triggers
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'model_name': 'unsloth/Llama-3.2-3B-Instruct-bnb-4bit', 'max_seq_length': 2048, 'dtype': None, 'load_in_4bit': True, 'learning_rate': 0.0001, 'per_device_train_batch_size': 128, 'gradient_accumulation_steps': 2, 'warmup_steps': 5, 'max_steps': 60, 'fp16': False, 'bf16': True, 'optim': 'adamw_8bit', 'weight_decay': 0.01, 'lr_scheduler_type': 'cosine', 'output_dir': 'outputs', 'seed': 3407}
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:init():669] starting backend
2024-11-24 16:50:58,381 INFO    MainThread:474189 [wandb_init.py:init():673] sending inform_init request
2024-11-24 16:50:58,386 INFO    MainThread:474189 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-24 16:50:58,387 INFO    MainThread:474189 [wandb_init.py:init():686] backend started and connected
2024-11-24 16:50:58,389 INFO    MainThread:474189 [wandb_init.py:init():781] updated telemetry
2024-11-24 16:50:58,390 INFO    MainThread:474189 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-24 16:50:58,961 INFO    MainThread:474189 [wandb_init.py:init():867] starting run threads in backend
2024-11-24 16:50:59,012 INFO    MainThread:474189 [wandb_run.py:_console_start():2456] atexit reg
2024-11-24 16:50:59,012 INFO    MainThread:474189 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-24 16:50:59,012 INFO    MainThread:474189 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-24 16:50:59,012 INFO    MainThread:474189 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-24 16:50:59,014 INFO    MainThread:474189 [wandb_init.py:init():911] run started, returning control to user process
