==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 10,047 | Num Epochs = 25
O^O/ \_/ \    Batch size per device = 64 | Gradient Accumulation steps = 2
\        /    Total batch size = 128 | Total steps = 1,950
 "-____-"     Number of trainable parameters = 24,313,856
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                       
{'loss': 2.5731, 'grad_norm': 0.3793783485889435, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.5713, 'grad_norm': 0.3769618570804596, 'learning_rate': 4e-05, 'epoch': 0.03}
{'loss': 2.6062, 'grad_norm': 0.3865067958831787, 'learning_rate': 6e-05, 'epoch': 0.04}
{'loss': 2.6087, 'grad_norm': 0.39142921566963196, 'learning_rate': 8e-05, 'epoch': 0.05}
{'loss': 2.6239, 'grad_norm': 0.43705376982688904, 'learning_rate': 0.0001, 'epoch': 0.06}
{'loss': 2.5732, 'grad_norm': 0.4576842486858368, 'learning_rate': 9.999993477704843e-05, 'epoch': 0.08}
{'loss': 2.46, 'grad_norm': 0.46974244713783264, 'learning_rate': 9.999973910836387e-05, 'epoch': 0.09}
{'loss': 2.3802, 'grad_norm': 0.4605541527271271, 'learning_rate': 9.999941299445679e-05, 'epoch': 0.1}
{'loss': 2.3268, 'grad_norm': 0.42783141136169434, 'learning_rate': 9.999895643617803e-05, 'epoch': 0.11}
{'loss': 2.2473, 'grad_norm': 0.3927423059940338, 'learning_rate': 9.999836943471867e-05, 'epoch': 0.13}
{'loss': 2.1784, 'grad_norm': 0.3883025050163269, 'learning_rate': 9.999765199161018e-05, 'epoch': 0.14}
{'loss': 2.1063, 'grad_norm': 0.41370928287506104, 'learning_rate': 9.999680410872429e-05, 'epoch': 0.15}
{'loss': 2.0531, 'grad_norm': 0.4173397719860077, 'learning_rate': 9.999582578827308e-05, 'epoch': 0.17}
{'loss': 2.0296, 'grad_norm': 0.439462810754776, 'learning_rate': 9.99947170328089e-05, 'epoch': 0.18}
{'loss': 1.9578, 'grad_norm': 0.43258872628211975, 'learning_rate': 9.99934778452244e-05, 'epoch': 0.19}
{'loss': 1.9392, 'grad_norm': 0.4060050845146179, 'learning_rate': 9.999210822875251e-05, 'epoch': 0.2}
{'loss': 1.8375, 'grad_norm': 0.35770878195762634, 'learning_rate': 9.999060818696644e-05, 'epoch': 0.22}
{'loss': 1.793, 'grad_norm': 0.319232314825058, 'learning_rate': 9.998897772377971e-05, 'epoch': 0.23}
{'loss': 1.7473, 'grad_norm': 0.32041674852371216, 'learning_rate': 9.998721684344603e-05, 'epoch': 0.24}
